ID,name,dateOfBirth,placeOfBirth,dateOfDeath,placeOfDeath
101,Olivia Adams,1964-07-03,"West Alan, Tunisia",2010-08-08,"Johnsonside, Saint Pierre and Miquelon"
102,Christopher Peterson,1953-07-11,"North Lisashire, Comoros",2004-12-10,"Wendyfurt, Chad"
103,Ana Drake,1958-12-03,"West Amyview, Somalia",1999-05-02,"North Regina, Cote d'Ivoire"
104,Alexis Frazier,1936-03-11,"Port Todd, Paraguay",1986-05-28,"Port James, Uzbekistan"
105,Joshua Gonzalez,1939-06-20,"Davisview, Netherlands",1999-12-21,"Deborahmouth, Jamaica"
106,Joseph Davidson,1947-08-15,"Lake Terri, Burundi",1995-06-18,"North Jeffreyfurt, Bouvet Island (Bouvetoya)"
107,Jennifer Perez,1973-05-08,"Murphychester, Iraq",2014-05-13,"West Bryan, Angola"
108,Wayne Colon,1973-02-23,"Timothyshire, El Salvador",2018-01-19,"Stewarttown, Argentina"
109,Victoria Walsh,1943-01-22,"Oconnorshire, Liechtenstein",1983-02-09,"Grayfurt, Saint Kitts and Nevis"
110,Carlos Chambers,1952-01-05,"Johnsonfurt, Venezuela",2012-12-27,"Schultzburgh, Marshall Islands"
111,Russell Morgan,1961-06-30,"New Adamhaven, Equatorial Guinea",2017-03-10,"West Kristiestad, United States Virgin Islands"
112,Brian Johnson,1946-05-21,"Rubenville, Guadeloupe",2014-10-15,"Judyfort, Finland"
113,Robert Evans,1956-02-18,"Alexiston, Egypt",2006-07-17,"Sarahside, Barbados"
114,Miss Adrienne Perry,1944-10-07,"Clarkbury, Cote d'Ivoire",2003-12-05,"East Richard, Grenada"
115,Anthony Barnes,1965-11-28,"North Rogerhaven, Cyprus",2013-01-29,"Port Jamesfort, Grenada"
116,Harold Barnett,1950-07-31,"North Christopherborough, Mexico",2008-07-23,"Buchananhaven, Panama"
117,Mindy Thomas,1935-10-01,"Patriciamouth, Falkland Islands (Malvinas)",1995-07-25,"Andrewsport, Lebanon"
118,Dale Williams,1972-10-22,"West Leslieburgh, Chile",2013-07-20,"West Laurafort, Paraguay"
119,Devin Harris,1970-05-03,"Port Nicholaston, Belize",2013-03-13,"North Bill, Guinea"
120,Austin Rodgers,1967-04-30,"East Adamfurt, Lebanon",2013-07-21,"Heatherstad, Mayotte"
121,Thomas Matthews,1977-10-27,"Powellmouth, Greenland",2024-10-04,"Armstrongberg, Mozambique"
122,William Roth,1965-11-28,"Rosechester, United States of America",2008-05-22,"Coreymouth, Mauritius"
123,Joseph Lara,1946-07-14,"New Chelseastad, Djibouti",2022-06-24,"West Dylanborough, Zimbabwe"
124,Amber Osborn,1981-09-27,"Lake Ericahaven, Chad",2024-10-15,"Owensshire, Philippines"
125,Michael Smith,1956-09-27,"Lake Dana, Sierra Leone",1996-11-08,"North Travis, Guinea-Bissau"
126,Tiffany West,1948-07-05,"Brooksside, Maldives",2013-10-15,"Shannonmouth, Liechtenstein"
127,Eric Bennett,1951-09-26,"Lindsaychester, Macao",2004-02-07,"East Nicolechester, Iran"
128,April Mahoney,1957-04-23,"Micheleshire, Netherlands",2011-10-11,"Parrishborough, Tokelau"
129,Charles Howell,1974-11-30,"Lake Pamelafort, Croatia",2025-05-14,"Singletonchester, Ireland"
130,Elizabeth Marquez,1937-05-19,"Montesfort, Oman",2007-01-20,"Port Davidburgh, Congo"
131,Derek Rush,1965-01-26,"East Reginaldfurt, Cyprus",2020-12-04,"New Catherineborough, Georgia"
132,Holly Walker,1976-07-03,"Julieview, Austria",2018-07-25,"Jenniferborough, Liberia"
133,Stacey Powell,1980-04-12,"North Elizabeth, Suriname",2022-07-14,"Briannaberg, Guinea-Bissau"
134,Krista Nichols,1964-10-13,"Jonesbury, Cyprus",2010-02-25,"Reginashire, Malta"
135,Heather Waters,1976-05-03,"New Katiefurt, Dominica",2023-04-30,"Johnnytown, Saudi Arabia"
136,Sandra Jones,1967-03-04,"South Walterchester, Zimbabwe",2021-02-11,"West Gabrielle, American Samoa"
137,Matthew Taylor,1943-01-10,"East Timothymouth, Nepal",1998-03-12,"Carterborough, Maldives"
138,Robert Hawkins DDS,1972-01-07,"Mariaton, Togo",2015-05-08,"North Derrick, Svalbard & Jan Mayen Islands"
139,Holly Blake,1956-10-05,"Williamsborough, Bolivia",2024-11-10,"Ericshire, Sri Lanka"
140,Elizabeth Snyder,1960-10-28,"North Monicaborough, Mayotte",2023-03-12,"South Desiree, Denmark"
141,Mary Roberts,1941-05-27,"Cherylshire, Monaco",1987-04-11,"New Jessica, France"
142,Anthony Blair,1977-08-24,"Port Andrebury, Monaco",2018-01-20,"New Shannonborough, Djibouti"
143,Jennifer Mcclure,1944-06-23,"Williamsmouth, Peru",2012-06-11,"Brandonbury, Norfolk Island"
144,Diamond Hudson,1943-07-16,"Angelaland, Turks and Caicos Islands",2021-09-27,"Kathleenfort, Qatar"
145,Emma Eaton,1946-11-20,"Port Morgan, Turkmenistan",1993-08-10,"Johnsonmouth, Hong Kong"
146,Marcus Gonzales,1939-03-24,"Ryanbury, Malawi",2013-02-05,"Pamelaburgh, Spain"
147,Natalie Clark,1982-12-23,"Michaelview, Western Sahara",2023-04-06,"Davidtown, Libyan Arab Jamahiriya"
148,Daniel Moore,1951-07-16,"Brandonmouth, Central African Republic",1993-07-12,"Suzannefort, Svalbard & Jan Mayen Islands"
149,Michael Frazier,1947-07-14,"Joshuaborough, Algeria",1988-04-03,"Josephstad, Japan"
150,Jennifer Camacho,1940-10-30,"Williamshire, Trinidad and Tobago",1990-03-07,"Port Matthew, Cyprus"
